City,Bank Name,Acquiring Institution,State,Latitude,Longitude,Closing Date
Clewiston,Olde Cypress Community Bank,"CenterState Bank of Florida, N.A.",FL,26.7542312,-80.9336753,2010-07-16
Aventura,Turnberry Bank,NAFH National Bank,FL,25.9564812,-80.1392121,2010-07-16
Miami,Metro Bank of Dade County,NAFH National Bank,FL,25.7741728,-80.19362,2010-07-16
Spartanburg,First National Bank of the South,NAFH National Bank,SC,34.9498007,-81.9320157,2010-07-16
Bluffton,Woodlands Bank,Bank of the Ozarks,SC,32.2371465,-80.8603868,2010-07-16
Blackwell,Home National Bank,RCB Bank,OK,36.8018163,-97.2861191,2010-07-09
Port Chester,USA Bank,New Century Bank,NY,41.0017643,-73.6656834,2010-07-09
Baltimore,Ideal Federal Savings Bank,No Acquirer,MD,39.2908816,-76.610759,2010-07-09
Baltimore,Bay National Bank,"Bay Bank, FSB",MD,39.2908816,-76.610759,2010-07-09
Albuquerque,High Desert State Bank,First American Bank,NM,35.0841034,-106.650985,2010-06-25
Savannah,First National Bank,"The Savannah Bank, N.A.",GA,32.0790074,-81.0921335,2010-06-25
Englewood,Peninsula Bank,"Premier American Bank, N.A.",FL,26.9606125,-82.3576323996642,2010-06-25
Reno,Nevada Security Bank,Umpqua Bank,NV,39.5261206,-119.8126581,2010-06-18
Seattle,Washington First International Bank,East West Bank,WA,47.6038321,-122.330062,2010-06-11
Lincoln,TierOne Bank,Great Western Bank,NE,40.8088861,-96.7077751,2010-06-04
Arcola,Arcola Homestead Savings Bank,No Acquirer,IL,39.684755,-88.3064367,2010-06-04
Rosedale,First National Bank,The Jefferson Bank,MS,33.8551004,-91.0266112,2010-06-04
Las Vegas,Sun West Bank,City National Bank,NV,36.1672559,-115.148516,2010-05-28
Granite Bay,"Granite Community Bank, NA",Tri Counties Bank,CA,38.7632346,-121.1638361,2010-05-28
Tampa,Bank of Florida - Tampa,EverBank,FL,27.9477595,-82.458444,2010-05-28
Naples,Bank of Florida - Southwest,EverBank,FL,26.1421976,-81.7942944,2010-05-28
Fort Lauderdale,Bank of Florida - Southeast,EverBank,FL,26.1223084,-80.1433786,2010-05-28
Saint Paul,Pinehurst Bank,Coulee Bank,MN,44.9497487,-93.0931028,2010-05-21
Elmwood Park,Midwest Bank and Trust Company,"FirstMerit Bank, N.A.",IL,41.9205931,-87.8160169,2010-05-14
Springfield,Southwest Community Bank,Simmons First National Bank,MO,37.208958,-93.292297,2010-05-14
Plymouth,New Liberty Bank,Bank of Ann Arbor,MI,45.0065149,-93.46651,2010-05-14
Saint Marys,Satilla Community Bank,Ameris Bank,GA,30.593752,-82.012049,2010-05-14
San Diego,1st Pacific Bank of California,City National Bank,CA,32.7174202,-117.1627728,2010-05-07
Mesa,Towne Bank of Arizona,Commerce Bank of Arizona,AZ,33.4151005,-111.831455,2010-05-07
Champlin,Access Bank,PrinsBank,MN,45.1888539,-93.3974538,2010-05-07
Bonifay,The Bank of Bonifay,First Federal Bank of Florida,FL,30.7918559,-85.6796533,2010-05-07
Everett,Frontier Bank,"Union Bank, N.A.",WA,47.9793437,-122.2127011,2010-04-30
Butler,BC National Banks,Community First Bank,MO,36.7151346,-90.4146358,2010-04-30
Creve Coeur,Champion Bank,BankLiberty,MO,38.6613007,-90.4423653,2010-04-30
Port Huron,CF Bancorp,First Michigan Bank,MI,42.9815877,-82.440466,2010-04-30
Mayaguez,Westernbank Puerto Rico,Banco Popular de Puerto Rico,PR,18.2011161,-67.1391124,2010-04-30
Hato Rey,R-G Premier Bank of Puerto Rico,Scotiabank de Puerto Rico,PR,18.3988812,-67.0845472,2010-04-30
San Juan,Eurobank,Oriental Bank and Trust,PR,18.465299,-66.116666,2010-04-30
Naperville,Wheatland Bank,Wheaton Bank & Trust,IL,41.7728699,-88.1479278,2010-04-23
Peotone,Peotone Bank and Trust Company,First Midwest Bank,IL,41.3323725,-87.7850863,2010-04-23
Chicago,Lincoln Park Savings Bank,Northbrook Bank & Trust Company,IL,41.8755616,-87.6244212,2010-04-23
Chicago,New Century Bank,"MB Financial Bank, N.A.",IL,41.8755616,-87.6244212,2010-04-23
