City,Bank Name,Acquiring Institution,State,Latitude,Longitude,Closing Date
Ridgewood,Citizens Community Bank,North Jersey Community Bank,NJ,40.9796683,-74.1194403,2009-05-01
Atlanta,"Silverton Bank, NA",No Acquirer,GA,33.7489924,-84.3902644,2009-05-01
Ketchum,First Bank of Idaho,"U.S. Bank, N.A.",ID,43.680741,-114.363662,2009-04-24
Calabasas,First Bank of Beverly Hills,No Acquirer,CA,34.1446643,-118.644097,2009-04-24
Farmington Hills,Michigan Heritage Bank,Level One Bank,MI,42.4853125,-83.3771553,2009-04-24
Kennesaw,American Southern Bank,Bank of North Georgia,GA,34.0234337,-84.6154897,2009-04-24
Elko,Great Basin Bank of Nevada,Nevada State Bank,NV,41.1958128,-115.3272864,2009-04-17
Sugar Creek,American Sterling Bank,Metcalf Bank,MO,39.109669,-94.44487,2009-04-17
Greeley,New Frontier Bank,No Acquirer,CO,40.4233142,-104.7091322,2009-04-10
Wilmington,Cape Fear Bank,First Federal Savings and Loan Association,NC,34.2257282,-77.9447107,2009-04-10
Atlanta,Omni National Bank,No Acquirer,GA,33.7489924,-84.3902644,2009-03-27
Paola,"TeamBank, NA",Great Southern Bank,KS,38.5723318,-94.8786484,2009-03-20
Colorado Springs,Colorado National Bank,Herring Bank,CO,38.8339578,-104.825348,2009-03-20
Stockbridge,FirstCity Bank,No Acquirer,GA,33.5442781,-84.2338093,2009-03-20
Commerce,Freedom Bank of Georgia,Northeast Georgia Bank,GA,34.203997,-83.4571058,2009-03-06
Henderson,Security Savings Bank,Bank of Nevada,NV,36.0301134,-114.9826194,2009-02-27
Glenwood,Heritage Community Bank,"MB Financial Bank, N.A.",IL,41.5424867,-87.6022765,2009-02-27
Silverton,Silver Falls Bank,Citizens Bank,OR,45.0049305,-122.7832947,2009-02-20
Beaverton,Pinnacle Bank of Oregon,Washington Trust Bank of Spokane,OR,45.4871723,-122.80378,2009-02-13
Pittsfield,Corn Belt Bank & Trust Co.,The Carlinville National Bank,IL,39.6078254,-90.805129,2009-02-13
Cape Coral,Riverside Bank of the Gulf Coast,TIB Bank,FL,26.6059432,-81.9806771,2009-02-13
Loup City,Sherman County Bank,Heritage Bank,NE,41.2747492,-98.9672755,2009-02-13
Merced,County Bank,Westamerica Bank,CA,37.1641544,-120.7678602,2009-02-06
Culver City,Alliance Bank,California Bank & Trust,CA,34.0211224,-118.396466,2009-02-06
McDonough,FirstBank Financial Services,Regions Bank,GA,33.4473361,-84.1468616,2009-02-06
Ocala,Ocala National Bank,"CenterState Bank of Florida, N.A.",FL,29.1871986,-82.1400923,2009-01-30
Crofton,Suburban FSB,Bank of Essex,MD,39.01595465,-76.68420565430054,2009-01-30
Salt Lake City,MagnetBank,No Acquirer,UT,40.7596198,-111.886797,2009-01-30
Redlands,1st Centennial Bank,First California Bank,CA,34.0550328,-117.1827445,2009-01-23
Vancouver,Bank of Clark County,Umpqua Bank,WA,45.6306954,-122.6744557,2009-01-16
Berkeley,National Bank of Commerce,Republic Bank of Chicago,IL,41.8889194,-87.9033956,2009-01-16
Sanderson,Sanderson State Bank,The Pecos County State Bank,TX,30.1424077,-102.394024,2008-12-12
Duluth,Haven Trust Bank,"Branch Banking & Trust Company, (BB&T)",GA,34.0028569,-84.1441046,2008-12-12
Jackson,First Georgia Community Bank,United Bank,GA,34.1282559,-83.5753386,2008-12-05
Pomona,PFF Bank & Trust,"U.S. Bank, N.A.",CA,34.0553813,-117.7517496,2008-11-21
Newport Beach,Downey Savings & Loan,"U.S. Bank, N.A.",CA,33.6170092,-117.9294401,2008-11-21
Loganville,Community Bank,Bank of Essex,GA,33.8389977,-83.9007382,2008-11-21
Los Angeles,Security Pacific Bank,Pacific Western Bank,CA,34.0536909,-118.242766,2008-11-07
Houston,"Franklin Bank, SSB",Prosperity Bank,TX,29.7589382,-95.3676974,2008-11-07
Bradenton,Freedom Bank,Fifth Third Bank,FL,27.4989278,-82.5748194,2008-10-31
Alpharetta,Alpha Bank & Trust,"Stearns Bank, N.A.",GA,34.0709576,-84.2747329,2008-10-24
Eldred,Meridian Bank,National Bank,IL,39.2875475,-90.5523438,2008-10-10
Northville,Main Street Bank,Monroe Bank & Trust,MI,42.4310816,-83.4832339,2008-10-10
Henderson,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),JP Morgan Chase Bank,NV,36.0301134,-114.9826194,2008-09-25
Northfork,Ameribank,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.",WV,37.420948,-81.4401034,2008-09-19
Henderson,Silver State Bank,Nevada State Bank,NV,36.0301134,-114.9826194,2008-09-05
Alpharetta,Integrity Bank,Regions Bank,GA,34.0709576,-84.2747329,2008-08-29
Topeka,Columbian Bank & Trust,Citizens Bank & Trust,KS,39.049011,-95.677556,2008-08-22
Bradenton,First Priority Bank,SunTrust Bank,FL,27.4989278,-82.5748194,2008-08-01
Newport Beach,"First Heritage Bank, NA",Mutual of Omaha Bank,CA,33.6170092,-117.9294401,2008-07-25
Reno,First National Bank of Nevada,Mutual of Omaha Bank,NV,39.5261206,-119.8126581,2008-07-25
Pasadena,IndyMac Bank,"OneWest Bank, FSB",CA,34.1476452,-118.1444779,2008-07-11
Staples,"First Integrity Bank, NA",First International Bank and Trust,MN,46.3550001,-94.7933333,2008-05-30
Bentonville,"ANB Financial, NA",Pulaski Bank and Trust Company,AR,36.3728538,-94.2088172,2008-05-09
Hume,Hume Bank,Security Bank,MO,38.0900314,-94.5838444,2008-03-07
Kansas City,Douglass National Bank,Liberty Bank and Trust Company,MO,39.100105,-94.5781416,2008-01-25
Lakeview,Miami Valley Bank,The Citizens Banking Company,OH,40.4847717,-83.9229952,2007-10-04
Alpharetta,NetBank,ING DIRECT,GA,34.0709576,-84.2747329,2007-09-28
Pittsburgh,Metropolitan Savings Bank,Allegheny Valley Bank of Pittsburgh,PA,40.4416941,-79.9900861,2007-02-02
Ephraim,Bank of Ephraim,Far West Bank,UT,39.3596842,-111.586305,2004-06-25
White Plains,Reliance Bank,Union State Bank,NY,41.0339862,-73.7629097,2004-03-19
Tallahassee,Guaranty National Bank of Tallahassee,Hancock Bank of Florida,FL,30.4380832,-84.2809332,2004-03-12
Newark,Dollar Savings Bank,No Acquirer,NJ,40.735657,-74.1723667,2004-02-14
Philadelphia,Pulaski Savings Bank,Earthstar Bank,PA,39.9527237,-75.1635262,2003-11-14
Blanchardville,First National Bank of Blanchardville,The Park Bank,WI,42.81032,-89.8622149,2003-05-09
Torrance,Southern Pacific Bank,Beal Bank,CA,33.8358492,-118.3406288,2003-02-07
Cheneyville,Farmers Bank of Cheneyville,Sabine State Bank & Trust,LA,31.0149128,-92.2873521,2002-12-17
Alamo,Bank of Alamo,No Acquirer,TN,35.7847949,-89.1172883,2002-11-08
Atlanta,AmTrade International Bank,No Acquirer,GA,33.7489924,-84.3902644,2002-09-30
Chicago,Universal Federal Savings Bank,Chicago Community Bank,IL,41.8755616,-87.6244212,2002-06-27
Stamford,Connecticut Bank of Commerce,Hudson United Bank,CT,41.0534302,-73.5387341,2002-06-26
Shelby Township,New Century Bank,No Acquirer,MI,43.5974492,-86.33795091855055,2002-03-28
Boca Raton,Net 1st National Bank,Bank Leumi USA,FL,26.3586885,-80.0830984,2002-03-01
Phoenix,"NextBank, NA",No Acquirer,AZ,33.4484367,-112.074141,2002-02-07
Oakwood,Oakwood Deposit Bank Co.,The State Bank & Trust Company,OH,41.365333,-81.507896,2002-02-01
Sierra Blanca,Bank of Sierra Blanca,The Security State Bank of Pecos,TX,31.1778312,-105.357627,2002-01-18
Miami,"Hamilton Bank, NA",Israel Discount Bank of New York,FL,25.7741728,-80.19362,2002-01-11
Gravette,Sinclair National Bank,Delta Trust & Bank,AR,36.4208054,-94.4526535,2001-09-07
Hinsdale,"Superior Bank, FSB","Superior Federal, FSB",IL,41.8024604,-87.9299841,2001-07-27
Malta,Malta National Bank,North Valley Bank,OH,39.6492377,-81.8620804,2001-05-03
Manchester,First Alliance Bank & Trust Co.,Southern New Hampshire Bank & Trust,NH,42.9956397,-71.4547891,2001-02-02
Metropolis,National State Bank of Metropolis,Banterra Bank of Marion,IL,37.1511655,-88.7319979,2000-12-14
Honolulu,Bank of Honolulu,Bank of the Orient,HI,21.304547,-157.855676,2000-10-13
